Account,Account Short Description,Account Type,GL Account Code,Trans Type,Is Active,Account Active or Inactive
10000,Cash - On Hand,Assets,10000,Cash - Disbursed,Yes,Active
10000,Cash - On Hand,Assets,10000,Cash - FX Gain/Loss,Yes,Active
10000,Cash - On Hand,Assets,10000,Cash - On Hand,Yes,Active
10000,Cash - On Hand,Assets,10000,Cash - Received,Yes,Active
10000,Cash - On Hand,Assets,10000,Cash - Unrealized FX Gain/Loss,Yes,Active
10000.1,Cash - EUR,Assets,10000.1,Cash - Disbursed - EUR,Yes,Active
10000.1,Cash - EUR,Assets,10000.1,Cash - FX Gain/Loss - EUR,Yes,Active
10000.1,Cash - EUR,Assets,10000.1,Cash - Received - EUR,Yes,Active
10000.1,Cash - NOK,Assets,10000.1,Cash - Disbursed - NOK,Yes,Active
10000.1,Cash - NOK,Assets,10000.1,Cash - FX Gain/Loss - NOK,Yes,Active
10000.1,Cash - NOK,Assets,10000.1,Cash - Received - NOK,Yes,Active
10000.11,Cash - SEK,Assets,10000.11,Cash - Disbursed - SEK,Yes,Active
10000.11,Cash - SEK,Assets,10000.11,Cash - FX Gain/Loss - SEK,Yes,Active
10000.11,Cash - SEK,Assets,10000.11,Cash - Received - SEK,Yes,Active
10000.12,Cash - DKK,Assets,10000.12,Cash - Disbursed - DKK,Yes,Active
10000.12,Cash - DKK,Assets,10000.12,Cash - FX Gain/Loss - DKK,Yes,Active
10000.12,Cash - DKK,Assets,10000.12,Cash - Received - DKK,Yes,Active
10000.13,Cash - AUD,Assets,10000.13,Cash - AUD,Yes,Active
10000.13,Cash - AUD,Assets,10000.13,Cash - Disbursed - AUD,Yes,Active
10000.13,Cash - AUD,Assets,10000.13,Cash - FX Gain/Loss - AUD,Yes,Active
10000.13,Cash - AUD,Assets,10000.13,Cash - Received - AUD,Yes,Active
10000.14,Cash - IDR,Assets,10000.14,Cash - Disbursed - IDR,Yes,Active
10000.14,Cash - IDR,Assets,10000.14,Cash - FX Gain/Loss - IDR,Yes,Active
10000.14,Cash - IDR,Assets,10000.14,Cash - Received - IDR,Yes,Active
10000.15,Cash - PHP,Assets,10000.15,Cash - Disbursed - PHP,Yes,Active
10000.15,Cash - PHP,Assets,10000.15,Cash - FX Gain/Loss - PHP,Yes,Active
10000.15,Cash - PHP,Assets,10000.15,Cash - PHP,Yes,Active
10000.15,Cash - PHP,Assets,10000.15,Cash - Received - PHP,Yes,Active
10000.16,Cash - KRW,Assets,10000.16,Cash - Disbursed - KRW,Yes,Active
10000.16,Cash - KRW,Assets,10000.16,Cash - FX Gain/Loss - KRW,Yes,Active
10000.16,Cash - KRW,Assets,10000.16,Cash - KRW,Yes,Active
10000.16,Cash - KRW,Assets,10000.16,Cash - Received - KRW,Yes,Active
10000.17,Cash - THB,Assets,10000.17,Cash - Disbursed - THB,Yes,Active
10000.17,Cash - THB,Assets,10000.17,Cash - FX Gain/Loss - THB,Yes,Active
10000.17,Cash - THB,Assets,10000.17,Cash - Received - THB,Yes,Active
10000.17,Cash - THB,Assets,10000.17,Cash - THB,Yes,Active
10000.18,Cash - MYR,Assets,10000.18,Cash - Disbursed - MYR,Yes,Active
10000.18,Cash - MYR,Assets,10000.18,Cash - FX Gain/Loss - MYR,Yes,Active
10000.18,Cash - MYR,Assets,10000.18,Cash - MYR,Yes,Active
10000.18,Cash - MYR,Assets,10000.18,Cash - Received - MYR,Yes,Active
10000.19,Cash - CHF,Assets,10000.19,Cash - Disbursed - CHF,Yes,Active
10000.19,Cash - CHF,Assets,10000.19,Cash - FX Gain/Loss - CHF,Yes,Active
10000.19,Cash - CHF,Assets,10000.19,Cash - Received - CHF,Yes,Active
10000.2,Cash - USD,Assets,10000.2,Cash - Disbursed - USD,Yes,Active
10000.2,Cash - USD,Assets,10000.2,Cash - FX Gain/Loss - USD,Yes,Active
10000.2,Cash - USD,Assets,10000.2,Cash - Received - USD,Yes,Active
10000.21,Cash - CAD,Assets,10000.21,Cash - Disbursed - CAD,Yes,Active
10000.21,Cash - CAD,Assets,10000.21,Cash - FX Gain/Loss - CAD,Yes,Active
10000.21,Cash - CAD,Assets,10000.21,Cash - Received - CAD,Yes,Active
10000.22,Cash - NZD,Assets,10000.22,Cash - Disbursed - NZD,Yes,Active
10000.22,Cash - NZD,Assets,10000.22,Cash - FX Gain/Loss - NZD,Yes,Active
10000.22,Cash - NZD,Assets,10000.22,Cash - Received - NZD,Yes,Active
10000.23,Cash - ISK,Assets,10000.23,Cash - Disbursed - ISK,Yes,Active
10000.23,Cash - ISK,Assets,10000.23,Cash - FX Gain/Loss - ISK,Yes,Active
10000.23,Cash - ISK,Assets,10000.23,Cash - Received - ISK,Yes,Active
10000.24,Cash - ZAR,Assets,10000.24,Cash - Disbursed - ZAR,Yes,Active
10000.24,Cash - ZAR,Assets,10000.24,Cash - FX Gain/Loss - ZAR,Yes,Active
10000.24,Cash - ZAR,Assets,10000.24,Cash - Received - ZAR,Yes,Active
10000.25,Cash - PLN,Assets,10000.25,Cash - Disbursed - PLN,Yes,Active
10000.25,Cash - PLN,Assets,10000.25,Cash - FX Gain/Loss - PLN,Yes,Active
10000.25,Cash - PLN,Assets,10000.25,Cash - Received - PLN,Yes,Active
10000.26,Cash - VND,Assets,10000.26,Cash - VND,Yes,Active
10000.27,Cash - HRK,Assets,10000.27,Cash - Disbursed - HRK,Yes,Active
10000.27,Cash - HRK,Assets,10000.27,Cash - FX Gain/Loss - HRK,Yes,Active
10000.27,Cash - HRK,Assets,10000.27,Cash - Received - HRK,Yes,Active
10000.3,Cash - SGD,Assets,10000.3,Cash - Disbursed - SGD,Yes,Active
10000.3,Cash - SGD,Assets,10000.3,Cash - FX Gain/Loss - SGD,Yes,Active
10000.3,Cash - SGD,Assets,10000.3,Cash - Received - SGD,Yes,Active
10000.4,Cash - RMB,Assets,10000.4,Cash - Disbursed - RMB,Yes,Active
10000.4,Cash - RMB,Assets,10000.4,Cash - FX Gain/Loss - RMB,Yes,Active
10000.4,Cash - RMB,Assets,10000.4,Cash - Received - RMB,Yes,Active
10000.5,Cash - JPY,Assets,10000.5,Cash - Disbursed - JPY,Yes,Active
10000.5,Cash - JPY,Assets,10000.5,Cash - FX Gain/Loss - JPY,Yes,Active
10000.5,Cash - JPY,Assets,10000.5,Cash - Received - JPY,Yes,Active
10000.6,Cash - INR,Assets,10000.6,Cash - Disbursed - INR,Yes,Active
10000.6,Cash - INR,Assets,10000.6,Cash - FX Gain/Loss - INR,Yes,Active
10000.6,Cash - INR,Assets,10000.6,Cash - Received - INR,Yes,Active
10000.7,Cash - HKD,Assets,10000.7,Cash - Disbursed - HKD,Yes,Active
10000.7,Cash - HKD,Assets,10000.7,Cash - FX Gain/Loss - HKD,Yes,Active
10000.7,Cash - HKD,Assets,10000.7,Cash - Received - HKD,Yes,Active
10000.8,Cash - TWD,Assets,10000.8,Cash - Disbursed - TWD,Yes,Active
10000.8,Cash - TWD,Assets,10000.8,Cash - FX Gain/Loss - TWD,Yes,Active
10000.8,Cash - TWD,Assets,10000.8,Cash - IDR,Yes,Active
10000.8,Cash - TWD,Assets,10000.8,Cash - Received - TWD,Yes,Active
10000.8,Cash - TWD,Assets,10000.8,Cash - TWD,Yes,Active
10000.9,Cash - GBP,Assets,10000.9,Cash - Disbursed - GBP,Yes,Active
10000.9,Cash - GBP,Assets,10000.9,Cash - FX Gain/Loss - GBP,Yes,Active
